unit,na_item,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
CLV05_MEUR,P6_S2111,CY	5908.3 p	5570.8 p	5169.1 	3845.1 	3628.6 	3081.5 	2971.1 	2606.2 	2668.5 	2146.8 	2350.9 	2161.8 	2048.6 	2227.6 	3143.5 	2620.9 	2175.8 	1702.1 	1291.8 	1184.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S2111,DK	50089.0 	46173.5 	47739.1 	46163.8 	45199.5 	44623.0 	40276.2 	39373.9 	37899.3 	35559.3 	37314.6 	36385.9 	36009.0 	40793.9 	39478.0 	39563.7 	37503.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S2111,FR	284529.7 	266122.3 p	306070.7 p	300477.2 	286795.9 	277718.3 	267047.1 	252923.4 	241074.1 	241352.4 	244270.6 	225668.4 	204648.8 	224895.7 	231586.5 	226575.6 	216704.0 	212883.2 	206929.8 	203848.3 	202429.0 	198573.9 	178601.6 	166205.0 	150952.4 	134794.4 	127239.0 	115996.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S2111,HU	77761.1 p	72140.1 	76258.5 	72215.3 	68929.7 	63886.0 	59195.1 	58442.0 	51254.7 	49658.3 	50378.3 	47243.1 	42960.9 	47293.7 	40873.8 	35193.9 	31321.0 	28611.8 	24378.5 	22191.7 	21257.4 	20066.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S2111,IE	146928.2 	118017.3 	100817.6 	97979.4 	79237.8 	76130.0 	76003.1 	66585.3 	59242.8 	61123.6 	63032.5 	62305.8 	61993.1 	58583.5 	61044.7 	56993.2 	57571.1 	52824.7 	48000.2 	45796.6 	39968.2 	37707.0 	31121.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S2111,IT	207138.0 	179909.8 	203491.7 	198922.3 	192288.7 	177863.8 	171919.5 	163148.5 	157281.4 	161009.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S2111,LT	15977.3 	13836.5 	13387.0 	11768.9 	10784.2 	9381.9 	9118.2 	8192.4 	6119.2 	6146.5 	5908.5 	4178.3 	3667.6 	3699.0 	3455.6 	3222.3 	3183.4 	2751.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S2111,LU	51937.4 p	47350.5 	47189.6 	45299.6 	43555.9 	44775.9 	41458.0 	40419.9 	38419.3 	36553.1 	34081.4 	33014.7 	32942.5 	35153.9 	35061.2 	33870.9 	30930.7 	30129.7 	27679.6 	26848.7 	26016.2 	24581.2 	20991.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S2111,LV	6480.2 	5381.2 	5784.2 	5459.0 	5109.8 	4975.3 	4751.7 	2970.2 	2711.2 	2746.7 	2568.5 	2380.1 	2204.3 	2479.8 	2502.4 	2243.8 	1972.2 	1458.1 	1301.0 	1165.2 	1074.1 	978.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S2111,MT	7076.3 	6316.7 	6320.9 	5836.8 	5640.5 	4762.1 	2820.4 	2341.3 	1999.7 	2087.3 	2032.3 	1825.6 	1536.9 	1677.6 	1489.3 	1539.6 	1326.6 	1222.2 	1248.4 e	1288.9 e	1181.1 e	1330.7 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S2111,NL	312231.1 p	285853.6 	295339.3 	294988.9 	285622.9 	268732.7 	261497.7 	252833.8 	244135.8 	243014.1 	243317.5 	229424.6 	212911.2 	232469.3 	228041.3 	229342.0 	206485.0 	198763.9 	184861.8 	180364.3 	182870.2 	178880.3 	177495.9 	163810.8 	153952.3 	143692.6 	138022.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S2111,PT	45366.7 p	40523.2 	48038.1 	45907.5 	42716.7 	39499.5 	37087.4 	34111.4 	32855.0 	31057.5 	31860.9 	30410.5 	27741.1 	31340.1 	32129.2 	30272.0 	27486.8 	27354.1 	26026.2 	25034.0 	24134.1 	23430.0 	21902.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S2111,SE	84969.2 	78474.5 	84221.4 	82414.0 	78385.8 	74913.4 	71768.6 	69327.5 	66704.3 	64073.9 	64131.8 	61050.5 	54995.1 	65590.3 	65854.3 	62109.3 	57696.1 	55148.5 	49681.5 	42470.3 	41891.1 	41832.6 	37730.6 	35615.1 	32734.4 	28750.4 	27512.8 	24557.5 	21474.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
